"node_id1","node_id2","node_id3","functiontype"
198,29,352,"pheromone response"
208,349,344,"Metionine biosynthesis"
208,349,345,"Metionine biosynthesis"
208,317,289,"Leucine and BAA biosynth"
208,317,290,"Leucine and BAA biosynth"
208,317,291,"Leucine and BAA biosynth"
208,317,318,"Leucine and BAA biosynth"
220,206,204,"Nitrogen utilization"
220,206,135,"Nitrogen utilization"
220,206,136,"Glutamate synthetase"
220,206,219,"Glutamate synthetase"
355,684,124,"formation of apocytochromes"
355,201,196,"Galactokinase"
384,672,523,"Drug resistance"
384,672,665,"Drug resistance"
384,388,274,"Drug resistance"
384,388,281,"Drug resistance"
384,388,389,"Drug resistance"
384,388,300,"Drug resistance"
384,388,523,"Drug resistance"
384,388,665,"Drug resistance"
466,292,145,"sporulation-specirev_labelsc"
539,572,99,"Cell cycle and mating type switch"
539,572,100,"Cell cycle and mating type switch"
539,572,255,"Cell cycle and mating type switch"
609,29,352,"Mating factor alpha"
617,298,87,"Phospholipid biosynthesis"
617,298,88,"Phospholipid biosynthesis"
617,298,374,"Phospholipid biosynthesis"
