"node_id","name"
0,"A1_ALPHA2"
1,"AAC1"
2,"AAC3"
3,"ABF1"
4,"ACC1"
5,"ACE2"
6,"ACO1"
7,"ACS1"
8,"ACT1"
9,"ADE1"
10,"ADE12"
11,"ADE13"
12,"ADE17"
13,"ADE2"
14,"ADE3"
15,"ADE4"
16,"ADE5"
17,"ADE6"
18,"ADE8"
19,"ADH1"
20,"ADH2"
21,"ADH4"
22,"ADK1"
23,"ADR1"
24,"AFR1"
25,"AGA1"
26,"AHP1"
27,"ALD2"
28,"ALD3"
29,"ALPHA1"
30,"ALPHA2"
31,"ANB1"
32,"APA1"
33,"ARA1"
34,"ARG1"
35,"ARG2"
36,"ARG3"
37,"ARG4"
38,"ARG5"
39,"ARG7"
40,"ARG8"
41,"ARO10"
42,"ARO3"
43,"ARO4"
44,"ARO7"
45,"ARO80"
46,"ARO9"
47,"ASH1"
48,"ASN1"
49,"ASN2"
50,"ASP3A"
51,"ASP3B"
52,"ASP3C"
53,"ASP3D"
54,"ATX1"
55,"BAP2"
56,"BAR1"
57,"BAS1"
58,"BNI5"
59,"CAF16"
60,"CAF4"
61,"CAN1"
62,"CAR1"
63,"CAR2"
64,"CAT2"
65,"CAT5"
66,"CAT8"
67,"CBF1"
68,"CCC2"
69,"CCP1"
70,"CCR4"
71,"CDC10"
72,"CDC11"
73,"CDC19"
74,"CDC2"
75,"CDC21"
76,"CDC36"
77,"CDC39"
78,"CDC48"
79,"CDC5"
80,"CDC50"
81,"CDC6"
82,"CDC8"
83,"CDC9"
84,"CDS1"
85,"CHA1"
86,"CHA4"
87,"CHO1"
88,"CHO2"
89,"CHS1"
90,"CIK1"
91,"CIN5"
92,"CIT1"
93,"CIT2"
94,"CKI1"
95,"CLB1"
96,"CLB2"
97,"CLB5"
98,"CLB6"
99,"CLN1"
100,"CLN2"
101,"CLN3"
102,"CO1"
103,"COX4"
104,"COX5A"
105,"COX5B"
106,"COX6"
107,"CPA1"
108,"CPA2"
109,"CPH1"
110,"CRC1"
111,"CRR1"
112,"CRZ1"
113,"CTA1"
114,"CTF4"
115,"CTR1"
116,"CTR3"
117,"CTS1"
118,"CTT1"
119,"CUP1A"
120,"CUP1B"
121,"CUP2"
122,"CUP9"
123,"CYB2"
124,"CYC1"
125,"CYC7"
126,"CYS3"
127,"CYT1"
128,"DAK1"
129,"DAL1"
130,"DAL2"
131,"DAL3"
132,"DAL4"
133,"DAL5"
134,"DAL7"
135,"DAL80"
136,"DAL80_GZF3"
137,"DAL81"
138,"DBF4"
139,"DCG1"
140,"DCI1"
141,"DDR2"
142,"DDR48"
143,"DED1"
144,"DHH1"
145,"DIT1"
146,"DIT2"
147,"DLD3"
148,"DMC1"
149,"DNA43"
150,"DNM1"
151,"DOG2"
152,"DPB2"
153,"DPB3"
154,"DPP1"
155,"DUR1"
156,"DUR3"
157,"ECI1"
158,"EGT2"
159,"ENA1"
160,"ENO1"
161,"ENO2"
162,"ENT1"
163,"EPT1"
164,"ERG10"
165,"ERG11"
166,"ERG24"
167,"FAA2"
168,"FAR1"
169,"FAS1"
170,"FAS2"
171,"FBA1"
172,"FET3"
173,"FET4"
174,"FIG1"
175,"FIG2"
176,"FIT1"
177,"FIT2"
178,"FIT3"
179,"FKH2"
180,"FKS1"
181,"FLO1"
182,"FLO10"
183,"FLO5"
184,"FLO8"
185,"FLR1"
186,"FOX2"
187,"FRE1"
188,"FRE2"
189,"FRE7"
190,"FTH1"
191,"FTR1"
192,"FUR4"
193,"FUS1"
194,"FUS3"
195,"FZF1"
196,"GAL1"
197,"GAL10"
198,"GAL11"
199,"GAL2"
200,"GAL3"
201,"GAL4"
202,"GAL7"
203,"GAL80"
204,"GAP1"
205,"GAS1"
206,"GAT1"
207,"GAT4"
208,"GCN4"
209,"GCR1"
210,"GCV3"
211,"GCY1"
212,"GDH1"
213,"GDH2"
214,"GDH3"
215,"GEF1"
216,"GIC2"
217,"GIS1"
218,"GLK1"
219,"GLN1"
220,"GLN3"
221,"GLO1"
222,"GLR1"
223,"GLT1"
224,"GPD1"
225,"GPM1"
226,"GPX2"
227,"GRE2"
228,"GRE3"
229,"GRX1"
230,"GSC2"
231,"GSH1"
232,"GUT1"
233,"HAL1"
234,"HAL9"
235,"HAP1"
236,"HAP2"
237,"HAP3"
238,"HAP4"
239,"HDA1"
240,"HEM1"
241,"HEM13"
242,"HEM2"
243,"HEM3"
244,"HHF1"
245,"HHF2"
246,"HIS1"
247,"HIS2"
248,"HIS3"
249,"HIS4"
250,"HIS5"
251,"HIS6"
252,"HIS7"
253,"HMG1"
254,"HNM1"
255,"HO"
256,"HOM2"
257,"HOM3"
258,"HOP1"
259,"HOR2"
260,"HSC82"
261,"HSF1"
262,"HSP104"
263,"HSP12"
264,"HSP26"
265,"HSP42"
266,"HSP78"
267,"HSP82"
